WEEK,DAYS_TYPE,WEEKLY_DEPOSIT
2021-08-16,During Incentive Program,45582.403138344
2021-08-16,During Incentive Program,188553.447656646
2021-08-16,During Incentive Program,1827.730690292
2021-08-16,During Incentive Program,87224.705018458
2021-08-16,During Incentive Program,149355.810102241
2021-08-23,During Incentive Program,13302.68227782
2021-08-23,During Incentive Program,27893.926768286
2021-08-23,During Incentive Program,4453.609068323
2021-08-23,During Incentive Program,566.386569849
2021-08-23,During Incentive Program,8408.581191824
2021-08-23,During Incentive Program,351.218853452
2021-08-23,During Incentive Program,13748.10658585
2021-08-30,During Incentive Program,518.909279715
2021-08-30,During Incentive Program,94.08183464
2021-08-30,During Incentive Program,2300.94776548
2021-08-30,During Incentive Program,17.301572538
2021-08-30,During Incentive Program,1923.504705296
2021-08-30,During Incentive Program,6400.279344064
2021-08-30,During Incentive Program,55149.603088523
2021-09-06,During Incentive Program,36357.918104511
2021-09-06,During Incentive Program,34616.357125007
2021-09-06,During Incentive Program,576.789494124
2021-09-06,During Incentive Program,4640.349566104
2021-09-06,During Incentive Program,26363.611470169
2021-09-06,During Incentive Program,1358.645725155
2021-09-13,During Incentive Program,83961.632289009
2021-09-13,Non-Incentive Rewards,114.756169185
2021-09-13,During Incentive Program,954.088615308
2021-09-13,During Incentive Program,45.952658279
2021-09-13,During Incentive Program,9.262998598
2021-09-20,Non-Incentive Rewards,2530.709104466
2021-09-20,Non-Incentive Rewards,57233.810687662
2021-09-20,Non-Incentive Rewards,341.182390256
2021-09-20,Non-Incentive Rewards,8102.545338007
2021-09-20,Non-Incentive Rewards,5628.381326854
2021-09-27,Non-Incentive Rewards,24028.899187727
2021-09-27,Non-Incentive Rewards,128.305445306
2021-09-27,Non-Incentive Rewards,52.520700995
2021-10-04,Non-Incentive Rewards,141.078748757
2021-10-04,Non-Incentive Rewards,827.188897735
2021-10-04,Non-Incentive Rewards,23971.894523051
2021-10-04,Non-Incentive Rewards,1603.592855994
2021-10-04,Non-Incentive Rewards,11.67315881
2021-10-11,Non-Incentive Rewards,201.09570146
2021-10-11,Non-Incentive Rewards,17.178051415
2021-10-11,Non-Incentive Rewards,30.236428748
2021-10-18,Non-Incentive Rewards,9153.134501665
2021-10-18,Non-Incentive Rewards,323.564615944
2021-10-25,Non-Incentive Rewards,273.541923365
2021-10-25,Non-Incentive Rewards,79362.527147078
2021-11-01,Non-Incentive Rewards,878.991269537
2021-11-01,Non-Incentive Rewards,842.905476582
2021-11-01,Non-Incentive Rewards,89.448292319
2021-11-01,Non-Incentive Rewards,377.568731862
2021-11-01,Non-Incentive Rewards,1522.390400416
2021-11-08,Non-Incentive Rewards,4663.93949533
2021-11-08,Non-Incentive Rewards,2306.818664476
2021-11-08,Non-Incentive Rewards,15468.089144636
2021-11-08,Non-Incentive Rewards,344.239524055
2021-11-08,Non-Incentive Rewards,27.961121575
2021-11-15,Non-Incentive Rewards,34539.762195749
2021-11-15,Non-Incentive Rewards,127.955433072
2021-11-15,Non-Incentive Rewards,318.471809243
2021-11-22,Non-Incentive Rewards,1648.474380451
2021-11-22,Non-Incentive Rewards,12.002822604
2021-11-29,Non-Incentive Rewards,82.301661072
2021-12-06,Non-Incentive Rewards,227.786778682
2021-12-06,Non-Incentive Rewards,0.9819758394
2021-12-13,Non-Incentive Rewards,7345.108802044
2021-12-13,Non-Incentive Rewards,173.336468222
2021-12-20,Non-Incentive Rewards,7140.876538403
2021-12-27,Non-Incentive Rewards,9153.134501665
2021-12-27,Non-Incentive Rewards,20880.725016626
2021-12-27,Non-Incentive Rewards,171.913130018
2022-01-03,Non-Incentive Rewards,192.67648038
2022-01-03,Non-Incentive Rewards,212.413072072
2022-01-03,Non-Incentive Rewards,216.574097083
2022-01-10,Non-Incentive Rewards,1096.365411407
2022-01-17,Non-Incentive Rewards,212.413072072
2022-01-17,Non-Incentive Rewards,1446.507501369
2022-01-17,Non-Incentive Rewards,10440.362508313
2022-01-17,Non-Incentive Rewards,1096.365411407
2022-02-07,Non-Incentive Rewards,10582.839520968
2022-02-14,Non-Incentive Rewards,120000
2022-02-21,Non-Incentive Rewards,18.199459708
2022-02-21,Non-Incentive Rewards,50937.497227116
2022-02-21,Non-Incentive Rewards,28.187563883
2022-02-28,Non-Incentive Rewards,1277.974480235
2022-02-28,Non-Incentive Rewards,342.773609946
2022-03-07,Non-Incentive Rewards,1277.974480235
2022-03-07,Non-Incentive Rewards,1900.136379388
2022-03-07,Non-Incentive Rewards,559.379372334
2022-03-14,Non-Incentive Rewards,100000
2022-03-14,Non-Incentive Rewards,5.598006117
2022-03-21,Non-Incentive Rewards,29441.891538615
2022-03-21,Non-Incentive Rewards,676.532779026
2022-03-28,Non-Incentive Rewards,1566.944801801
2022-04-04,Non-Incentive Rewards,782.165458891
2022-04-04,Non-Incentive Rewards,209.363163311
2022-04-04,Non-Incentive Rewards,341.107823546
2022-04-11,Non-Incentive Rewards,334.023941984
2022-04-18,Non-Incentive Rewards,30232.396522414
2022-04-18,Non-Incentive Rewards,506.855266
2022-04-18,Non-Incentive Rewards,793.75284206
2022-04-25,Non-Incentive Rewards,60460.533883863
2022-04-25,Non-Incentive Rewards,7816.384073184
2022-04-25,Non-Incentive Rewards,307.722801673
2022-05-02,Non-Incentive Rewards,1536.963797667
2022-05-02,Non-Incentive Rewards,15374.705892558
2022-05-02,Non-Incentive Rewards,2505.965526693
2022-05-02,Non-Incentive Rewards,4301.206273631
2022-05-09,Non-Incentive Rewards,341.107823546
2022-05-09,Non-Incentive Rewards,52686.762918676
2022-05-23,Non-Incentive Rewards,209.416948862
2022-05-23,Non-Incentive Rewards,52.212554409
2022-05-30,Non-Incentive Rewards,52.362026627
2022-06-06,Non-Incentive Rewards,2.129245696
2022-06-13,Non-Incentive Rewards,121.782627254
2022-06-13,Non-Incentive Rewards,9.682854573
2022-07-04,Non-Incentive Rewards,374.702542977
2022-07-04,Non-Incentive Rewards,154.725127673
2022-07-04,Non-Incentive Rewards,15.629043586
2022-07-11,Non-Incentive Rewards,349.786823573
2022-07-18,Non-Incentive Rewards,70.509841575
2022-07-18,Non-Incentive Rewards,17.569073786
2022-07-18,Non-Incentive Rewards,331.199576116
2022-07-25,Non-Incentive Rewards,346.993797078
2022-08-01,Non-Incentive Rewards,23.157482073
2022-08-08,Non-Incentive Rewards,168.195818299
2022-08-08,Non-Incentive Rewards,70.509841575
2022-08-08,Non-Incentive Rewards,23.157482073
2022-08-08,Non-Incentive Rewards,702.101171811
2022-08-08,Non-Incentive Rewards,510.969428245
